# JMH 1.13 (released 70 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConverterComplexConvert.baseline

# Run progress: 0.00% complete, ETA 00:20:50
# Fork: 1 of 1
# Warmup Iteration   1: log4j: reset attribute= "false".
log4j: Threshold ="null".
log4j: Level value for root is  [INFO].
log4j: root level set to INFO
log4j: Class name: [org.apache.log4j.ConsoleAppender]
log4j: Parsing layout of class: "org.apache.log4j.PatternLayout"
log4j: Setting property [conversionPattern] to [%d{yyyy-MM-dd HH:mm:ss} %-5p %c{1}:%L - %m%n].
log4j: Adding appender named [console] to category [root].
2016-10-01 10:21:16 INFO  BufferedReaderAbbrevParser:19 - Parsing /sr28abbr/ABBREV.txt file
0.324 ns/op
# Warmup Iteration   2: 0.322 ns/op
# Warmup Iteration   3: 0.320 ns/op
# Warmup Iteration   4: 0.321 ns/op
# Warmup Iteration   5: 0.321 ns/op
# Warmup Iteration   6: 0.322 ns/op
# Warmup Iteration   7: 0.321 ns/op
# Warmup Iteration   8: 0.320 ns/op
# Warmup Iteration   9: 0.320 ns/op
# Warmup Iteration  10: 0.321 ns/op
# Warmup Iteration  11: 0.320 ns/op
# Warmup Iteration  12: 0.320 ns/op
# Warmup Iteration  13: 0.321 ns/op
# Warmup Iteration  14: 0.320 ns/op
# Warmup Iteration  15: 0.319 ns/op
# Warmup Iteration  16: 0.320 ns/op
# Warmup Iteration  17: 0.321 ns/op
# Warmup Iteration  18: 0.320 ns/op
# Warmup Iteration  19: 0.321 ns/op
# Warmup Iteration  20: 0.320 ns/op
# Warmup Iteration  21: 0.320 ns/op
# Warmup Iteration  22: 0.319 ns/op
# Warmup Iteration  23: 0.319 ns/op
# Warmup Iteration  24: 0.320 ns/op
# Warmup Iteration  25: 0.319 ns/op
Iteration   1: 0.319 ns/op
Iteration   2: 0.320 ns/op
Iteration   3: 0.320 ns/op
Iteration   4: 0.320 ns/op
Iteration   5: 0.320 ns/op
Iteration   6: 0.320 ns/op
Iteration   7: 0.319 ns/op
Iteration   8: 0.320 ns/op
Iteration   9: 0.320 ns/op
Iteration  10: 0.320 ns/op
Iteration  11: 0.321 ns/op
Iteration  12: 0.320 ns/op
Iteration  13: 0.319 ns/op
Iteration  14: 0.320 ns/op
Iteration  15: 0.320 ns/op
Iteration  16: 0.320 ns/op
Iteration  17: 0.321 ns/op
Iteration  18: 0.321 ns/op
Iteration  19: 0.320 ns/op
Iteration  20: 0.320 ns/op
Iteration  21: 0.321 ns/op
Iteration  22: 0.320 ns/op
Iteration  23: 0.320 ns/op
Iteration  24: 0.320 ns/op
Iteration  25: 0.320 ns/op
Iteration  26: 0.321 ns/op
Iteration  27: 0.320 ns/op
Iteration  28: 0.320 ns/op
Iteration  29: 0.320 ns/op
Iteration  30: 0.321 ns/op
Iteration  31: 0.322 ns/op
Iteration  32: 0.320 ns/op
Iteration  33: 0.320 ns/op
Iteration  34: 0.320 ns/op
Iteration  35: 0.320 ns/op
Iteration  36: 0.324 ns/op
Iteration  37: 0.320 ns/op
Iteration  38: 0.320 ns/op
Iteration  39: 0.321 ns/op
Iteration  40: 0.320 ns/op
Iteration  41: 0.320 ns/op
Iteration  42: 0.320 ns/op
Iteration  43: 0.320 ns/op
Iteration  44: 0.321 ns/op
Iteration  45: 0.319 ns/op
Iteration  46: 0.322 ns/op
Iteration  47: 0.320 ns/op
Iteration  48: 0.321 ns/op
Iteration  49: 0.320 ns/op
Iteration  50: 0.320 ns/op
Iteration  51: 0.321 ns/op
Iteration  52: 0.320 ns/op
Iteration  53: 0.321 ns/op
Iteration  54: 0.320 ns/op
Iteration  55: 0.320 ns/op
Iteration  56: 0.319 ns/op
Iteration  57: 0.319 ns/op
Iteration  58: 0.319 ns/op
Iteration  59: 0.320 ns/op
Iteration  60: 0.320 ns/op
Iteration  61: 0.320 ns/op
Iteration  62: 0.320 ns/op
Iteration  63: 0.320 ns/op
Iteration  64: 0.320 ns/op
Iteration  65: 0.320 ns/op
Iteration  66: 0.320 ns/op
Iteration  67: 0.320 ns/op
Iteration  68: 0.320 ns/op
Iteration  69: 0.321 ns/op
Iteration  70: 0.320 ns/op
Iteration  71: 0.321 ns/op
Iteration  72: 0.320 ns/op
Iteration  73: 0.320 ns/op
Iteration  74: 0.320 ns/op
Iteration  75: 0.320 ns/op
Iteration  76: 0.320 ns/op
Iteration  77: 0.320 ns/op
Iteration  78: 0.321 ns/op
Iteration  79: 0.320 ns/op
Iteration  80: 0.320 ns/op
Iteration  81: 0.321 ns/op
Iteration  82: 0.320 ns/op
Iteration  83: 0.320 ns/op
Iteration  84: 0.320 ns/op
Iteration  85: 0.320 ns/op
Iteration  86: 0.320 ns/op
Iteration  87: 0.320 ns/op
Iteration  88: 0.320 ns/op
Iteration  89: 0.320 ns/op
Iteration  90: 0.320 ns/op
Iteration  91: 0.320 ns/op
Iteration  92: 0.321 ns/op
Iteration  93: 0.320 ns/op
Iteration  94: 0.320 ns/op
Iteration  95: 0.319 ns/op
Iteration  96: 0.321 ns/op
Iteration  97: 0.320 ns/op
Iteration  98: 0.320 ns/op
Iteration  99: 0.321 ns/op
Iteration 100: 0.320 ns/op


Result "baseline":
  0.320 ±(99.9%) 0.001 ns/op [Average]
  (min, avg, max) = (0.319, 0.320, 0.324), stdev = 0.001
  CI (99.9%): [0.320, 0.320] (assumes normal distribution)


# JMH 1.13 (released 70 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConverterComplexConvert.forEach

# Run progress: 10.00% complete, ETA 00:18:49
# Fork: 1 of 1
# Warmup Iteration   1: log4j: reset attribute= "false".
log4j: Threshold ="null".
log4j: Level value for root is  [INFO].
log4j: root level set to INFO
log4j: Class name: [org.apache.log4j.ConsoleAppender]
log4j: Parsing layout of class: "org.apache.log4j.PatternLayout"
log4j: Setting property [conversionPattern] to [%d{yyyy-MM-dd HH:mm:ss} %-5p %c{1}:%L - %m%n].
log4j: Adding appender named [console] to category [root].
2016-10-01 10:23:21 INFO  BufferedReaderAbbrevParser:19 - Parsing /sr28abbr/ABBREV.txt file
14560658.000 ns/op
# Warmup Iteration   2: 13072453.766 ns/op
# Warmup Iteration   3: 11998789.738 ns/op
# Warmup Iteration   4: 11496525.954 ns/op
# Warmup Iteration   5: 11541849.126 ns/op
# Warmup Iteration   6: 11534208.333 ns/op
# Warmup Iteration   7: 11606974.517 ns/op
# Warmup Iteration   8: 11629268.379 ns/op
# Warmup Iteration   9: 11662560.291 ns/op
# Warmup Iteration  10: 11542315.080 ns/op
# Warmup Iteration  11: 11458461.625 ns/op
# Warmup Iteration  12: 11423087.739 ns/op
# Warmup Iteration  13: 11543761.552 ns/op
# Warmup Iteration  14: 11647752.372 ns/op
# Warmup Iteration  15: 11591287.862 ns/op
# Warmup Iteration  16: 11588589.368 ns/op
# Warmup Iteration  17: 11464618.511 ns/op
# Warmup Iteration  18: 11576344.609 ns/op
# Warmup Iteration  19: 11457626.750 ns/op
# Warmup Iteration  20: 11652897.907 ns/op
# Warmup Iteration  21: 11593777.483 ns/op
# Warmup Iteration  22: 11704620.337 ns/op
# Warmup Iteration  23: 11641546.012 ns/op
# Warmup Iteration  24: 11530505.322 ns/op
# Warmup Iteration  25: 11535521.103 ns/op
Iteration   1: 11508131.782 ns/op
Iteration   2: 11593480.954 ns/op
Iteration   3: 11458909.920 ns/op
Iteration   4: 11619659.011 ns/op
Iteration   5: 11431681.659 ns/op
Iteration   6: 11601184.034 ns/op
Iteration   7: 11492897.409 ns/op
Iteration   8: 11653899.628 ns/op
Iteration   9: 11502930.897 ns/op
Iteration  10: 11633461.767 ns/op
Iteration  11: 11592699.816 ns/op
Iteration  12: 11541317.966 ns/op
Iteration  13: 11607880.517 ns/op
Iteration  14: 11566957.241 ns/op
Iteration  15: 11639800.442 ns/op
Iteration  16: 11532793.770 ns/op
Iteration  17: 11475864.182 ns/op
Iteration  18: 11520089.782 ns/op
Iteration  19: 11662797.849 ns/op
Iteration  20: 11612223.977 ns/op
Iteration  21: 11631509.407 ns/op
Iteration  22: 11530687.253 ns/op
Iteration  23: 11574219.632 ns/op
Iteration  24: 11668170.267 ns/op
Iteration  25: 11574347.828 ns/op
Iteration  26: 11669993.453 ns/op
Iteration  27: 11568631.264 ns/op
Iteration  28: 11588351.402 ns/op
Iteration  29: 11596759.310 ns/op
Iteration  30: 11670758.919 ns/op
Iteration  31: 11551653.540 ns/op
Iteration  32: 11527636.989 ns/op
Iteration  33: 11685187.267 ns/op
Iteration  34: 11600921.379 ns/op
Iteration  35: 11670136.779 ns/op
Iteration  36: 11773436.372 ns/op
Iteration  37: 11727665.105 ns/op
Iteration  38: 11574034.379 ns/op
Iteration  39: 11544277.966 ns/op
Iteration  40: 11712264.116 ns/op
Iteration  41: 11556046.207 ns/op
Iteration  42: 11574089.161 ns/op
Iteration  43: 11482374.750 ns/op
Iteration  44: 11577981.080 ns/op
Iteration  45: 11455557.045 ns/op
Iteration  46: 11586752.713 ns/op
Iteration  47: 11530312.046 ns/op
Iteration  48: 11515594.161 ns/op
Iteration  49: 11734149.849 ns/op
Iteration  50: 11521178.287 ns/op
Iteration  51: 11504477.253 ns/op
Iteration  52: 12255515.512 ns/op
Iteration  53: 11470902.534 ns/op
Iteration  54: 11659687.012 ns/op
Iteration  55: 11589027.540 ns/op
Iteration  56: 11611731.667 ns/op
Iteration  57: 11652005.767 ns/op
Iteration  58: 11568121.851 ns/op
Iteration  59: 11540733.126 ns/op
Iteration  60: 11534657.793 ns/op
Iteration  61: 11540193.230 ns/op
Iteration  62: 11576751.069 ns/op
Iteration  63: 11506043.897 ns/op
Iteration  64: 11580925.598 ns/op
Iteration  65: 11583049.575 ns/op
Iteration  66: 11599037.690 ns/op
Iteration  67: 11465560.307 ns/op
Iteration  68: 11430852.295 ns/op
Iteration  69: 11570633.103 ns/op
Iteration  70: 11525127.690 ns/op
Iteration  71: 11579628.115 ns/op
Iteration  72: 11462087.227 ns/op
Iteration  73: 11513883.954 ns/op
Iteration  74: 11466540.705 ns/op
Iteration  75: 11588300.724 ns/op
Iteration  76: 11519427.402 ns/op
Iteration  77: 11433944.182 ns/op
Iteration  78: 11490411.080 ns/op
Iteration  79: 11476835.023 ns/op
Iteration  80: 11625348.402 ns/op
Iteration  81: 11519571.448 ns/op
Iteration  82: 11516670.966 ns/op
Iteration  83: 11657281.895 ns/op
Iteration  84: 11596426.069 ns/op
Iteration  85: 11635547.465 ns/op
